iter	Passed	Remaining
0	143	143232
1	150	74872
2	156	52037
3	162	40420
4	167	33363
5	173	28683
6	178	25355
7	184	22861
8	191	21059
9	196	19484
10	202	18174
11	207	17078
12	212	16160
13	218	15367
14	223	14686
15	229	14083
16	234	13554
17	239	13080
18	245	12678
19	251	12299
20	256	11951
21	261	11645
22	267	11376
23	273	11117
24	279	10910
25	285	10692
26	291	10505
27	296	10305
28	302	10127
29	308	9975
30	313	9808
31	319	9659
32	325	9530
33	330	9397
34	336	9264
35	343	9199
36	351	9144
37	359	9110
38	366	9039
39	373	8958
40	378	8861
41	384	8762
42	390	8686
43	395	8603
44	401	8522
45	407	8451
46	413	8376
47	419	8316
48	425	8252
49	430	8180
50	436	8114
51	442	8062
52	447	7997
53	453	7940
54	458	7883
55	464	7828
56	469	7768
57	475	7719
58	480	7670
59	486	7623
60	492	7576
61	497	7532
62	503	7493
63	508	7444
64	514	7401
65	520	7364
66	525	7318
67	531	7278
68	536	7243
69	542	7210
70	548	7183
71	555	7158
72	561	7128
73	567	7098
74	573	7068
75	578	7035
76	584	7005
77	590	6975
78	595	6945
79	602	6923
80	608	6898
81	613	6868
82	619	6842
83	624	6814
84	630	6784
85	635	6756
86	641	6729
87	646	6703
88	652	6683
89	658	6656
90	663	6631
91	669	6610
92	674	6582
93	680	6557
94	686	6537
95	691	6513
96	696	6487
97	702	6468
98	708	6445
99	713	6421
100	719	6404
101	725	6384
102	730	6361
103	736	6341
104	741	6322
105	748	6312
106	754	6297
107	759	6274
108	765	6254
109	770	6232
110	775	6210
111	780	6191
112	786	6171
113	791	6149
114	796	6129
115	801	6111
116	807	6090
117	812	6071
118	817	6052
119	822	6032
120	827	6014
121	833	6001
122	839	5984
123	844	5967
124	850	5953
125	855	5937
126	861	5920
127	867	5908
128	872	5892
129	878	5876
130	884	5864
131	889	5849
132	894	5833
133	900	5820
134	906	5809
135	912	5798
136	918	5786
137	924	5776
138	930	5765
139	936	5751
140	941	5735
141	947	5725
142	953	5711
143	958	5698
144	964	5686
145	969	5673
146	975	5661
147	981	5649
148	986	5635
149	992	5622
150	998	5612
151	1003	5596
152	1008	5583
153	1014	5574
154	1019	5560
155	1025	5546
156	1030	5534
157	1035	5520
158	1041	5508
159	1047	5496
160	1052	5482
161	1057	5468
162	1063	5462
163	1069	5449
164	1074	5437
165	1079	5424
166	1084	5411
167	1089	5397
168	1095	5385
169	1100	5373
170	1105	5361
171	1111	5348
172	1116	5336
173	1121	5324
174	1126	5311
175	1131	5298
176	1136	5286
177	1142	5273
178	1147	5262
179	1152	5249
180	1157	5237
181	1162	5226
182	1168	5216
183	1175	5212
184	1180	5200
185	1185	5189
186	1191	5178
187	1196	5169
188	1202	5161
189	1208	5150
190	1213	5140
191	1219	5130
192	1224	5119
193	1229	5109
194	1235	5099
195	1240	5089
196	1245	5078
197	1251	5067
198	1256	5057
199	1261	5047
200	1266	5036
201	1272	5026
202	1277	5016
203	1282	5005
204	1288	4995
205	1293	4985
206	1298	4975
207	1303	4964
208	1308	4954
209	1314	4943
210	1319	4933
211	1324	4923
212	1329	4913
213	1334	4902
214	1340	4893
215	1345	4882
216	1350	4872
217	1355	4863
218	1363	4863
219	1370	4857
220	1375	4849
221	1381	4840
222	1390	4845
223	1396	4836
224	1407	4848
225	1418	4857
226	1424	4850
227	1433	4854
228	1440	4848
229	1450	4854
230	1456	4849
231	1465	4852
232	1472	4846
233	1486	4865
234	1492	4857
235	1498	4849
236	1503	4841
237	1510	4834
238	1516	4828
239	1522	4821
240	1528	4814
241	1535	4808
242	1541	4801
243	1546	4792
244	1552	4784
245	1558	4776
246	1564	4768
247	1569	4760
248	1575	4752
249	1581	4744
250	1587	4737
251	1593	4729
252	1599	4722
253	1605	4714
254	1611	4707
255	1617	4700
256	1622	4691
257	1628	4683
258	1634	4677
259	1640	4669
260	1646	4660
261	1652	4654
262	1658	4646
263	1663	4639
264	1669	4630
265	1675	4622
266	1681	4616
267	1687	4608
268	1692	4600
269	1698	4593
270	1704	4584
271	1709	4575
272	1715	4568
273	1721	4560
274	1726	4552
275	1732	4545
276	1738	4537
277	1743	4528
278	1749	4521
279	1755	4513
280	1760	4505
281	1766	4497
282	1782	4516
283	1788	4509
284	1798	4511
285	1806	4510
286	1814	4506
287	1820	4499
288	1826	4494
289	1844	4516
290	1853	4515
291	1861	4513
292	1873	4520
293	1879	4513
294	1886	4507
295	1897	4513
296	1906	4511
297	1914	4509
298	1924	4512
299	1933	4510
300	1943	4512
301	1950	4508
302	1961	4511
303	1968	4507
304	1978	4508
305	1985	4502
306	1990	4494
307	1996	4485
308	2002	4478
309	2008	4470
310	2014	4463
311	2020	4456
312	2027	4451
313	2033	4442
314	2040	4436
315	2046	4429
316	2051	4421
317	2057	4413
318	2063	4405
319	2068	4396
320	2074	4387
321	2079	4378
322	2084	4369
323	2090	4361
324	2096	4353
325	2101	4344
326	2106	4335
327	2111	4326
328	2117	4317
329	2122	4309
330	2127	4300
331	2132	4290
332	2138	4282
333	2143	4273
334	2148	4264
335	2155	4259
336	2160	4251
337	2166	4242
338	2171	4233
339	2176	4225
340	2182	4217
341	2187	4209
342	2193	4201
343	2198	4192
344	2204	4185
345	2209	4177
346	2215	4168
347	2220	4160
348	2225	4152
349	2231	4143
350	2236	4135
351	2241	4126
352	2247	4118
353	2252	4110
354	2257	4101
355	2262	4092
356	2267	4084
357	2273	4076
358	2278	4068
359	2283	4059
360	2289	4051
361	2294	4043
362	2299	4035
363	2304	4027
364	2310	4018
365	2315	4010
366	2320	4001
367	2325	3993
368	2330	3985
369	2336	3978
370	2342	3970
371	2347	3963
372	2353	3955
373	2359	3949
374	2367	3946
375	2373	3938
376	2378	3930
377	2384	3924
378	2392	3920
379	2400	3916
380	2406	3909
381	2412	3902
382	2418	3895
383	2423	3888
384	2429	3881
385	2435	3874
386	2441	3866
387	2446	3858
388	2454	3855
389	2460	3848
390	2466	3842
391	2472	3834
392	2477	3826
393	2483	3819
394	2488	3811
395	2493	3803
396	2499	3796
397	2505	3790
398	2511	3783
399	2517	3776
400	2523	3769
401	2528	3761
402	2534	3754
403	2539	3746
404	2545	3739
405	2550	3732
406	2556	3724
407	2561	3716
408	2567	3710
409	2579	3712
410	2585	3705
411	2591	3697
412	2596	3690
413	2601	3682
414	2607	3675
415	2612	3667
416	2617	3660
417	2623	3652
418	2628	3645
419	2634	3637
420	2639	3630
421	2645	3622
422	2650	3615
423	2655	3607
424	2660	3599
425	2666	3592
426	2671	3584
427	2676	3577
428	2681	3569
429	2687	3561
430	2692	3554
431	2697	3546
432	2703	3540
433	2709	3533
434	2714	3526
435	2720	3518
436	2725	3511
437	2730	3503
438	2735	3496
439	2741	3488
440	2746	3481
441	2752	3474
442	2757	3466
443	2762	3459
444	2768	3453
445	2774	3445
446	2779	3438
447	2784	3431
448	2789	3423
449	2795	3416
450	2800	3408
451	2809	3405
452	2816	3401
453	2822	3393
454	2828	3387
455	2833	3380
456	2838	3372
457	2844	3365
458	2849	3358
459	2854	3351
460	2861	3345
461	2866	3338
462	2872	3331
463	2878	3324
464	2882	3316
465	2888	3310
466	2894	3303
467	2899	3295
468	2904	3288
469	2910	3281
470	2915	3274
471	2921	3268
472	2927	3261
473	2932	3254
474	2937	3247
475	2942	3239
476	2948	3232
477	2953	3225
478	2958	3218
479	2964	3211
480	2969	3204
481	2974	3197
482	2980	3189
483	2985	3182
484	2990	3175
485	2995	3168
486	3000	3161
487	3006	3154
488	3011	3147
489	3016	3140
490	3022	3133
491	3027	3125
492	3032	3118
493	3037	3111
494	3043	3104
495	3048	3097
496	3053	3090
497	3058	3082
498	3063	3075
499	3068	3068
500	3074	3061
501	3079	3054
502	3084	3047
503	3089	3040
504	3095	3033
505	3100	3026
506	3105	3019
507	3110	3012
508	3115	3005
509	3121	2998
510	3126	2991
511	3131	2984
512	3137	2978
513	3142	2971
514	3149	2965
515	3154	2959
516	3160	2952
517	3165	2945
518	3170	2938
519	3175	2931
520	3180	2924
521	3186	2917
522	3191	2911
523	3197	2904
524	3203	2898
525	3208	2891
526	3213	2884
527	3219	2878
528	3224	2871
529	3230	2864
530	3236	2858
531	3241	2851
532	3248	2845
533	3255	2840
534	3262	2835
535	3269	2830
536	3275	2824
537	3281	2817
538	3286	2811
539	3292	2805
540	3300	2799
541	3307	2795
542	3315	2790
543	3323	2786
544	3329	2779
545	3337	2774
546	3344	2769
547	3350	2763
548	3357	2757
549	3365	2753
550	3371	2747
551	3377	2740
552	3382	2734
553	3388	2727
554	3393	2721
555	3399	2714
556	3405	2708
557	3413	2703
558	3420	2698
559	3428	2693
560	3434	2687
561	3441	2682
562	3449	2677
563	3455	2671
564	3461	2664
565	3467	2658
566	3473	2652
567	3479	2646
568	3485	2640
569	3492	2634
570	3499	2629
571	3507	2624
